Name	Length	EffectiveLength	TPM	NumReads
FBgn0028872	1850.33	1672.52	0	0
FBgn0003975	3463	3285.18	0.26004	5.745
FBgn0040751	379	201.821	19.1569	26
FBgn0039958	2048.03	1870.21	31.9471	401.796
FBgn0034201	1894.78	1717.12	0.232015	2.679
FBgn0032390	851.812	674.309	49.1773	223
FBgn0031144	1994.49	1816.67	42.0732	514
FBgn0037481	943	765.463	20.7863	107
FBgn0033457	1056.78	878.961	20.8091	123
FBgn0037974	1270.52	1092.7	28.0011	205.758
FBgn0038033	1754	1576.18	0.139685	1.481
FBgn0029689	2699	2521.18	12.8579	218
FBgn0036784	2074	1896.18	0	0
FBgn0085458	750	572.558	0	0
FBgn0033787	1157.83	980.015	3.94511	26
FBgn0031955	5711.22	5533.4	0.349357	13
FBgn0054011	1090	912.183	0	0
FBgn0051092	3957.91	3780.09	1.53757	39.085
FBgn0003218	5056.07	4878.25	17.8982	587.159
FBgn0029687	2574.61	2396.79	80.4092	1296.04
FBgn0033460	4661.12	4483.31	57.6461	1738
FBgn0039664	1417.71	1239.89	8.28908	69.114
FBgn0037802	1114	936.183	8.1008	51
FBgn0014002	2080.26	1902.45	822.117	10517.9
FBgn0051454	1736	1558.18	0.095433	1
FBgn0046886	1227	1049.18	0	0
FBgn0261060	329	151.849	0	0
FBgn0039349	1858.11	1680.29	22.036	248.999
FBgn0036230	922.5	744.968	0	0
FBgn0085599	1023	845.183	11.7307	66.674
FBgn0030292	477	299.716	69.4603	140
FBgn0039132	1040.62	862.929	78.5793	456
FBgn0032790	1215	1037.18	12.7601	89
FBgn0029996	2521.83	2344.01	57.4753	905.99
FBgn0264830	262	84.895	0	0
FBgn0083972	706	528.575	1.96929	7
FBgn0052221	1606	1428.18	9.47493	91
FBgn0061209	595	417.645	0.125659	0.353
FBgn0019938	5078	4900.18	34.1093	1124
FBgn0029920	757	579.553	0.256582	1
FBgn0259728	885	707.475	9.52879	45.335
FBgn0052732	2189	2011.18	15.2582	206.366
FBgn0030164	1289.75	1111.93	0	0
FBgn0033785	1901.03	1723.21	7.10894	82.381
FBgn0250839	1017.75	840.08	0	0
FBgn0267887	453	275.737	0	0
FBgn0267365	936	758.464	26.0756	133
FBgn0032150	1063.13	885.374	6.21431	36.999
FBgn0035360	1723.53	1545.71	1.25956	13.093
FBgn0035833	3722	3544.18	17.3282	413
FBgn0034849	777.361	599.906	53.6958	216.623
FBgn0035041	2875.31	2697.5	0.098263	1.783
FBgn0037067	876	698.477	0	0
FBgn0263197	5925.52	5747.7	95.4141	3687.98
FBgn0033724	651.268	473.87	14.7488	47
FBgn0265201	476	298.717	1.54814	3.11
FBgn0031690	1768.92	1591.11	0.093459	1
FBgn0035009	576	398.652	0	0
FBgn0052601	967	789.429	0.094184	0.5
FBgn0033996	1961.73	1783.91	18.422	221.001
FBgn0034437	2768	2590.18	0.05741	1
FBgn0031247	748	570.558	17.4192	66.836
FBgn0039552	649	471.605	0	0
FBgn0030990	2036.31	1858.49	130.34	1629
FBgn0015925	2004.36	1826.54	31.8321	391
FBgn0029959	1179.59	1001.77	33.6959	227
FBgn0001276	727	549.564	20.8349	77
FBgn0036277	437	259.754	84.7262	148
FBgn0052643	548	370.665	0	0
FBgn0263782	3818	3640.18	12.7901	313.098
FBgn0035695	4208	4030.18	0.332075	9
FBgn0034138	627.086	449.712	3303.64	9991
FBgn0035997	3195.73	3017.91	30.7958	625
FBgn0028541	2464.71	2286.89	71.8514	1105
FBgn0053666	666	488.59	0	0
FBgn0051860	2260.5	2082.68	0	0
FBgn0035312	1183	1005.18	26.1182	176.551
FBgn0036236	1075	897.183	0.000296	0.002
FBgn0259735	6472.93	6295.11	177.68	7521.82
FBgn0037094	3105.98	2928.16	49.5648	976
FBgn0051953	715	537.571	0.260946	0.943
FBgn0029523	2309	2131.18	0.894197	12.816
FBgn0035374	1144	966.183	56.7918	369
FBgn0034514	440	262.752	0	0
FBgn0038934	4896.2	4718.38	0.157578	5
FBgn0036360	2534	2356.18	0.063112	1
FBgn0014465	1978.24	1800.45	0.412958	5
