Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0029887	3842	1124	1184	3414	1215	1429	1935	1757	1687	1741	1699	1752	1761.76	1793	1731	0.964	-0.053	-0.473	0.636073850678987	0.906264285937828	0.0023	0.0146	0.0085	0.0085	TRUE	0.0608
FBgn0029888	1037	359	484	1029	458	519	522	561	690	525	641	636	595.74	591	601	1.016	0.023	0.142	0.886938267053688	0.977610431926065	0.0154	0.0181	0.017	0.017	TRUE	0.2448
FBgn0029890	125	59	74	100	58	79	63	92	105	51	81	97	81.59	87	76	0.878	-0.188	-0.585	0.558756620222445	0.873743893314838	0.0782	0.0515	0.0615	0.0615	TRUE	0.6712
FBgn0029891	2220	884	947	1789	875	997	1118	1382	1349	912	1224	1222	1201.19	1283	1119	0.872	-0.198	-1.243	0.213873023162915	0.614917136600697	0.0198	0.0155	0.0173	0.0173	TRUE	0.3273
FBgn0029892	117	46	60	139	83	85	59	72	85	71	116	104	84.58	72	97	1.345	0.428	1.477	0.139757056272712	0.50767377659912	0.043	0.0501	0.0473	0.0473	TRUE	0.6781
FBgn0029893	4886	1720	1616	3251	1403	1716	2461	2688	2303	1658	1962	2103	2195.82	2484	1908	0.767	-0.382	-2.869	0.00411589266987477	0.045540690696366	0.0095	0.0143	0.0123	0.0123	TRUE	0.1641
FBgn0029894	1017	264	214	707	207	246	512	413	305	361	290	302	363.55	410	318	0.772	-0.373	-1.806	0.0709225135751002	0.347664737706889	0.0378	0.0215	0.0278	0.0278	TRUE	0.1608
FBgn0029895	286	80	87	387	133	135	144	125	124	197	186	165	156.98	131	183	1.389	0.474	2.401	0.0163690910764711	0.133516020346271	0	0.0329	0.0212	0.0212	TRUE	0.0984
FBgn0029896	1627	531	501	302	100	116	819	830	714	154	140	142	466.54	788	145	0.185	-2.431	-15.879	8.86537820061704e-57	1.12805605189851e-53	0	0.0196	0.0128	0.0128	TRUE	0.0764
FBgn0029897	54030	24375	33614	42642	27176	31496	27213	38094	47896	21745	38009	38604	35260.2	37734	32786	0.869	-0.203	-0.877	0.380600753538617	0.788741487149479	0.0698	0.0129	0.0385	0.0385	TRUE	0.2699
FBgn0029898	6	7	9	12	3	6	3	11	13	6	4	7	7.41	9	6	0.704	-0.505	-0.606	0.544717739109111	0.867477364964215	0	0.438	0.3524	0.3524	TRUE	2.1745
FBgn0029899	6769	2338	2162	6426	2502	2743	3409	3654	3081	3277	3499	3362	3380.35	3381	3379	0.999	-0.001	-0.01	0.991705852799649	0.99806895951468	0.0037	0.0138	0.0088	0.0088	TRUE	0.072
FBgn0029903	8074	2653	2393	8865	3065	3173	4067	4146	3410	4521	4287	3889	4053.17	3874	4232	1.092	0.128	1.017	0.309382133584887	0.728483843709291	0.0079	0.0136	0.0111	0.0111	TRUE	0.1324
FBgn0029905	1377	473	482	1051	510	582	694	739	687	536	713	713	680.36	707	654	0.922	-0.116	-0.754	0.450622043095424	0.8288619916641	0.0131	0.0175	0.0156	0.0156	TRUE	0.318
FBgn0029906	562	241	269	546	259	304	283	377	383	278	362	373	342.71	348	338	0.973	-0.04	-0.207	0.836390267158079	0.964439649774725	0.0249	0.022	0.0232	0.0232	TRUE	0.3405
FBgn0029907	48	17	22	59	35	28	24	27	31	30	49	34	32.57	27	38	1.374	0.458	1.168	0.242609960214852	0.652650835286527	0	0.1095	0.077	0.077	TRUE	0.4059
