Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0085354	226	62	98	351	142	186	114	97	140	179	199	228	159.32	117	202	1.722	0.784	3.658	0.000254286304454085	0.00474827696807659	0.0134	0.0326	0.0258	0.0258	TRUE	0.2393
FBgn0016032	578	248	283	1029	416	437	291	388	403	525	582	536	454.02	361	548	1.529	0.613	3.655	0.000257479708498837	0.00479784887782247	0.0149	0.0198	0.0177	0.0177	TRUE	0.3745
FBgn0001206	1027	323	356	1306	522	583	517	505	507	666	730	715	606.66	510	704	1.376	0.461	3.644	0.000268807265138948	0.0049880548137346	0	0.018	0.0097	0.0097	TRUE	0.0281
FBgn0030305	816	259	329	1178	492	464	411	405	469	601	688	569	523.68	428	619	1.446	0.532	3.643	0.0002697690943316	0.00499356689159544	0.0054	0.0189	0.0132	0.0132	TRUE	0.1048
FBgn0033268	112	40	52	202	86	120	56	63	74	103	120	147	93.9	64	123	1.928	0.947	3.639	0.000273186692326607	0.0050378340963832	0.0197	0.0464	0.036	0.036	TRUE	0.2043
FBgn0038804	172	50	61	256	115	124	87	78	87	131	161	152	115.84	84	148	1.742	0.8	3.616	0.000299242716737646	0.00546179278275043	0	0.04	0.0254	0.0254	TRUE	0.1325
FBgn0035113	194	60	66	296	117	135	98	94	94	151	164	165	127.6	95	160	1.67	0.74	3.607	0.000309848554398868	0.00563228790618513	0	0.0375	0.0215	0.0215	TRUE	0.0318
FBgn0034029	855	256	322	1291	405	491	431	400	459	658	566	602	519.35	430	609	1.42	0.506	3.606	0.000311377480454121	0.00563707158212369	0.0033	0.0189	0.012	0.012	TRUE	0.0639
FBgn0051219	2643	990	1199	4958	1443	1677	1331	1547	1708	2528	2018	2055	1864.8	1529	2200	1.444	0.53	3.606	0.000310992653950337	0.00563707158212369	0.0152	0.0145	0.0149	0.0149	TRUE	0.2093
FBgn0263118	680	201	212	928	318	374	342	314	302	473	445	458	389.18	319	459	1.431	0.517	3.596	0.000323614748403448	0.00582310416975659	0	0.0209	0.012	0.012	TRUE	0.0527
FBgn0013997	3149	1141	1084	4567	1651	1646	1586	1783	1545	2329	2309	2017	1928.22	1638	2218	1.356	0.439	3.591	0.000328795301149263	0.00590439465188807	0.0053	0.0145	0.0102	0.0102	TRUE	0.0754
FBgn0026150	1539	547	607	2124	811	919	775	855	865	1083	1134	1126	973.12	832	1114	1.343	0.425	3.59	0.000330488085880788	0.00591378617053028	0.0015	0.0161	0.009	0.009	TRUE	0.0463
FBgn0265274	69	17	26	140	50	59	35	27	37	71	70	72	52	33	71	2.15	1.104	3.589	0.000331974074914689	0.00591378617053028	0	0.0734	0.045	0.045	TRUE	0.1214
FBgn0036688	493	186	237	732	374	423	248	291	338	373	523	518	381.92	292	471	1.616	0.692	3.583	0.000340020244127273	0.00604503056774775	0.0279	0.0211	0.0239	0.0239	TRUE	0.4183
FBgn0034793	744	261	360	1170	446	604	375	408	513	597	624	740	542.72	432	654	1.518	0.602	3.576	0.000348515107792158	0.00617465481823379	0.0179	0.0186	0.0183	0.0183	TRUE	0.3034
FBgn0038261	22	15	9	68	40	39	11	23	13	35	56	48	30.96	16	46	3.027	1.598	3.572	0.000353799502053933	0.00624018250454333	0.0633	0.1146	0.0975	0.0975	TRUE	0.3938
FBgn0010786	6159	2389	2555	8325	3724	4118	3102	3734	3641	4245	5208	5047	4162.89	3492	4833	1.385	0.469	3.558	0.000373799030089722	0.00656691905524488	0.0101	0.0136	0.0123	0.0123	TRUE	0.1399
FBgn0259741	34	13	12	102	35	32	17	20	17	52	49	39	32.45	18	47	2.614	1.386	3.555	0.000378360911449624	0.00663397763441299	0	0.1099	0.0694	0.0694	TRUE	0.1417
FBgn0036764	5144	2010	2450	7892	3139	3670	2591	3141	3491	4024	4390	4498	3689.35	3074	4304	1.401	0.487	3.551	0.000383665946032448	0.00667557379383433	0.0121	0.0137	0.0132	0.0132	TRUE	0.2354
FBgn0265140	9365	3139	3034	11381	4403	4970	4717	4906	4323	5804	6158	6092	5333.18	4649	6018	1.294	0.372	3.551	0.000383731198208508	0.00667557379383433	0.0022	0.0134	0.0077	0.0077	TRUE	0.045
FBgn0036641	300	117	151	555	201	242	151	183	215	283	281	297	234.98	183	287	1.586	0.665	3.548	0.000387533946795885	0.00672858647974844	0.0117	0.0262	0.0205	0.0205	TRUE	0.3159
FBgn0003884	50776	22647	26101	77384	40342	46038	25574	35393	37191	39461	56423	56428	41745.18	32719	50771	1.552	0.634	3.514	0.000442225860991167	0.00764836066766665	0.0368	0.0129	0.0234	0.0234	TRUE	0.4654
FBgn0021795	3446	1200	1492	4675	1931	2226	1736	1875	2126	2384	2701	2728	2258.34	1912	2604	1.363	0.446	3.51	0.000447520672145623	0.00770999347543727	0.0074	0.0142	0.0111	0.0111	TRUE	0.1149
FBgn0032956	5394	1342	1413	8674	2317	2385	2717	2097	2013	4423	3241	2923	2902.42	2276	3529	1.55	0.632	3.508	0.000451350207162199	0.00774816291907898	0.0388	0.0139	0.023	0.023	TRUE	0.6028
FBgn0086357	7335	2676	3175	9958	4144	4843	3694	4182	4524	5078	5796	5936	4868.4	4133	5603	1.356	0.439	3.499	0.00046663223297651	0.00797753032460993	0.0081	0.0135	0.0111	0.0111	TRUE	0.1072
FBgn0040308	1269	375	475	1779	597	689	639	586	677	907	835	844	748.12	634	862	1.361	0.445	3.498	0.000469276832016014	0.00800737307043417	0.0016	0.0171	0.0102	0.0102	TRUE	0.0462
FBgn0035539	28	3	5	53	23	39	14	5	7	27	32	48	22.15	9	36	3.729	1.899	3.485	0.000491473092262994	0.00837007807416155	0.1176	0.155	0.1433	0.1433	TRUE	1.3654
FBgn0051909	2	3	0	86	15	2	1	5	0	44	21	2	12.16	2	22	13.53	3.758	3.481	0.000500156694046312	0.00850170930127958	1.212	0.2718	0.5112	0.5112	TRUE	0.135
