Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0035083	4976	1553	2139	3975	1387	1855	2506	2427	3048	2027	1940	2274	2370.28	2660	2080	0.783	-0.353	-3.307	0.000943249171270768	0.00801447678348997	0.0125	0.0056	0.0078	0.0078	TRUE	NA
FBgn0037612	1996	835	968	1579	781	927	1005	1305	1379	805	1092	1136	1120.55	1230	1011	0.82	-0.287	-3.3	0.000966773281695588	0.00819875157221425	0	0.0069	0.0045	0.0045	TRUE	NA
FBgn0028646	1414	504	530	1070	467	484	712	788	755	546	653	593	674.51	752	597	0.792	-0.337	-3.299	0.000970247979109947	0.00820571850736471	0	0.0084	0.0059	0.0059	TRUE	NA
FBgn0085434	1279	421	407	923	375	368	644	658	580	471	524	451	554.71	627	482	0.766	-0.385	-3.299	0.000970404626924772	0.00820571850736471	0.0043	0.0092	0.0079	0.0079	TRUE	NA
FBgn0032935	1216	459	442	952	376	423	612	717	630	485	526	518	581.57	653	510	0.782	-0.355	-3.287	0.0010138709106362	0.00851727867542924	0	0.009	0.0066	0.0066	TRUE	NA
FBgn0267849	2208	627	697	1675	554	700	1112	980	993	854	775	858	928.68	1028	829	0.805	-0.312	-3.283	0.00102647674924473	0.0086069834467187	0.001	0.0073	0.0053	0.0053	TRUE	NA
FBgn0031304	3094	1185	1360	2326	1103	1378	1558	1852	1938	1186	1543	1689	1627.66	1783	1473	0.82	-0.287	-3.277	0.00105052884679486	0.00877569934693925	0.0025	0.0061	0.0049	0.0049	TRUE	NA
FBgn0004456	7947	2622	2650	6510	2452	2685	4003	4098	3776	3320	3429	3291	3652.73	3959	3347	0.845	-0.243	-3.273	0.00106600145524291	0.00888832212448105	9e-04	0.0052	0.0037	0.0037	TRUE	NA
FBgn0037007	2278	535	623	1865	455	581	1147	836	888	951	636	712	861.78	957	766	0.8	-0.322	-3.271	0.00107205349793946	0.00893044564981285	0.001	0.0076	0.0057	0.0057	TRUE	NA
FBgn0013334	2735	915	842	2297	709	840	1378	1430	1200	1171	992	1030	1199.97	1336	1064	0.797	-0.327	-3.266	0.00109005247722112	0.00906347171469699	0.0054	0.0067	0.0063	0.0063	TRUE	NA
FBgn0040505	108	42	39	63	20	17	54	66	56	32	28	21	42.76	59	27	0.471	-1.088	-3.263	0.00110057924389769	0.00913398944982009	0	0.0656	0.0524	0.0524	TRUE	NA
FBgn0022349	6644	1899	1929	5746	1710	1873	3346	2968	2749	2930	2392	2296	2780.04	3021	2539	0.839	-0.253	-3.261	0.00110975505599141	0.00918453443003087	0.0013	0.0055	0.0039	0.0039	TRUE	NA
FBgn0036101	626	153	148	434	92	142	315	239	211	221	129	174	214.89	255	175	0.686	-0.543	-3.261	0.00110967621226259	0.00918453443003087	0.0069	0.0167	0.0147	0.0147	TRUE	NA
