"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0077644",1045.45908602411,945.095928288139,825.220218419876,2108.57311886007,2479.15790226301,2505.59193895086,0.00123245473071649,1.33457249226654,7.6930417299539e-06,2.52200737112243,2.90922902382444
"FBtr0085155",726.787208526312,555.141698606927,639.27054157713,1498.92695529553,1702.78488753689,1780.73579727514,0.0013000143682278,1.37923724594215,8.62194781086331e-06,2.60130803355252,2.88605184768735
"FBtr0077831",55.4464459470303,38.2874628077909,45.6944902540847,162.853654372716,193.886517794257,179.985559563005,0.00135286495481599,1.95446938387407,9.12453881395673e-06,3.87573352987534,2.86874555322157
"FBtr0331663",89.0135623944288,90.6058760236151,125.539054925855,323.599606304089,330.097295180897,310.109045436356,0.00142762989616102,1.67553229362437,1.02707186774174e-05,3.19437191654306,2.84538436601071
"FBtr0081619",137.715355087759,80.1629244238523,103.904853892501,467.504769533762,503.389385484362,594.535185326509,0.00147421059255834,2.30952849396356,1.07715477199069e-05,4.95721040420764,2.83144047261456
"FBtr0087090",30.176686215101,31.9280418658865,43.3170642956986,142.807224278595,146.530965103912,125.17843709152,0.00142762989616102,1.99803920772026,1.0046232952918e-05,3.99456722216693,2.84538436601071
"FBtr0113380",3.21674836509075,5.49326410152875,4.60208057526766,26.9228941731434,25.8367900843467,25.999538728921,0.00123245473071649,2.55664614014134,7.41358128749346e-06,5.88338374793411,2.90922902382444
"FBtr0306087",147.834355489722,98.0398582286338,100.361178096671,379.225702935897,431.321067309911,447.704259071205,0.00175836073823464,1.88606681907507,1.3836021996001e-05,3.69626147984956,2.75489202200794
"FBtr0075541",66.6674293980217,80.079799390068,81.4638276322293,231.078701344063,209.594945161706,198.740191557191,0.00176892411193371,1.49555746415117,1.41924125200624e-05,2.81973085707514,2.7522907982239
"FBtr0087870",4.17232564042398,2.94180168009679,2.97154819536424,23.7846945442247,24.4525326328369,29.1135759553729,0.00142762989616102,3.05595134703172,1.00095071149256e-05,8.31635501867926,2.84538436601071
"FBtr0086555",30.0557559749688,26.6406788488307,33.2236280184015,86.5910076690781,90.2424914838616,87.1909151957232,0.00183349349466544,1.56167611025867,1.50455289018185e-05,2.95196601097216,2.73672062660107
"FBtr0273224",153.326407371083,177.622813293742,167.487763599766,364.0386189472,402.797128947583,354.055949930551,0.00200531357844757,1.16905265950767,1.70190169933444e-05,2.2486399231913,2.69781770546726
"FBtr0075928",77.6531331856594,75.0720948234527,68.2358214498418,215.64213221432,202.273186305092,264.251108408577,0.00209809446135105,1.62302442272642,1.82781385740452e-05,3.08020083981825,2.67817496270109
"FBtr0300272",24.5348169756823,26.4718969016587,16.5857098222476,94.2383540479155,103.311173331211,92.1613327902904,0.00197490987005792,2.12632087465224,1.65389821626927e-05,4.36602646285678,2.70445271969812
"FBtr0071009",3.1526756814869,2.45954792030466,2.48239580901673,12.9660898871361,14.9960571183438,14.1862925088983,0.00160042843447459,2.36524694249373,1.18992631391718e-05,5.15240836738984,2.79576374120599
