"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0078191",2830.48862328657,2626.59050694355,2580.47303215976,1051.02584933928,1264.57232033724,1231.94296585325,0.000892619414500084,-1.18426614624661,3.21086120323771e-06,0.440048319830211,3.04933367147425
"FBtr0301403",2023.56179455344,2034.46812051584,2289.51837104456,1021.7414163894,1054.45032273463,1081.97994062944,0.000900558164232334,-1.00485557135468,3.2900337609657e-06,0.498320015887339,3.0454882322177
"FBtr0071934",1297.0069311127,1258.97544729792,1549.89986842302,518.428596990097,508.953675663438,468.299660897969,0.000923065915499957,-1.45315467793712,3.4760238499605e-06,0.365221935422281,3.03476728519752
"FBtr0290077",866.296805277099,1070.30379477631,978.302097591498,355.379607249185,297.378327273355,318.27023867352,0.000936535859424089,-1.58466355038724,3.66979061773531e-06,0.333402412683973,3.02847558908228
"FBtr0334867",893.249087776953,769.053793005217,939.765758686434,120.985253909272,136.353825568356,203.372471451572,0.00093964311032563,-2.5296001734274,3.74969991193344e-06,0.173186673586515,3.02703706623773
"FBtr0071240",133.363982593952,133.78437059123,156.207607305186,31.7082155497258,23.5865263870066,27.4091441855359,0.000865338475826144,-2.35411649375221,2.81004829973061e-06,0.195587151658964,3.06281398567883
"FBtr0330725",532.214749655948,535.892019439984,529.517927045363,249.33682249807,235.088587561729,212.173542378669,0.000965216138458474,-1.19968182445552,4.12300059143683e-06,0.435371288925298,3.01537542527872
"FBtr0070457",1304.97963290156,1460.26967087481,1261.71394479733,650.697013141935,604.222763143466,613.96910209646,0.000965216138458474,-1.10550603924577,3.97059193731695e-06,0.464739430861839,3.01537542527872
"FBtr0301500",172.53806062341,201.99847308398,200.316071065551,50.8781461759249,44.3698784101868,37.5405845203572,0.000936535859424089,-2.11779146557453,3.59406332457346e-06,0.230399347227843,3.02847558908228
"FBtr0332260",1067.50508098122,1214.57438285786,1270.88594608251,485.915177411318,419.835655911594,395.198368446514,0.000973473824605208,-1.4503693869837,4.26770224366042e-06,0.36592772002355,3.01167572157831
"FBtr0113113",433.614871739123,384.379070868741,427.66534295745,127.778645743434,155.785673581178,149.422189164482,0.00100329773991166,-1.5252021581067,4.65003127383996e-06,0.347430867687405,2.99857016607016
"FBtr0332203",1089.77065756794,1174.74265635392,1114.6611074412,516.150042489759,504.689101946628,418.769941190143,0.00100329773991166,-1.23666619694268,4.74860140412139e-06,0.424352123818436,2.99857016607016
"FBtr0089361",498.767433272175,577.63377675474,505.685262604305,208.883248218672,176.387418641435,186.677749476027,0.00100329773991166,-1.46801587992755,5.01478552238646e-06,0.361479094768231,2.99857016607016
"FBtr0332500",1692.02873558347,1811.26124079085,1557.78849065215,801.980110245868,745.83077289993,836.437098257805,0.00100329773991166,-1.08526144982533,4.79434257148899e-06,0.471306848479718,2.99857016607016
"FBtr0302938",320.719053829858,351.874735183917,376.106658400413,115.739441304952,87.1630480954749,87.8166668545085,0.00100329773991166,-1.8606664328576,5.07513470054235e-06,0.275349055929963,2.99857016607016
"FBtr0087390",729.754900506666,719.624717210892,839.995937068382,343.283874660465,311.677354086017,313.915382858901,0.00111272702715264,-1.23834020249192,5.87884108320304e-06,0.423860019930917,2.95361136319582
"FBtr0090022",2412.79158702004,2648.2526629991,2416.49048770814,1321.33444044815,1230.14225946794,1117.30835925542,0.0010473954527653,-1.02933074517862,5.41593871708674e-06,0.489937374159063,2.97988931590639
"FBtr0306255",1168.85916452579,1297.59940025267,1174.55537707178,580.181270693861,506.602766460301,594.430312626237,0.0011240875880895,-1.11622855155715,6.02935199379726e-06,0.46129816174439,2.94919984753749
"FBtr0087789",212.552009589576,216.049241945313,229.938893218063,75.2563734154505,66.6432503494954,81.739521837073,0.00114153755676466,-1.56132427214217,6.28769562516506e-06,0.338839912661845,2.94250979558213
"FBtr0085755",376.708316438946,447.039516411745,435.844543826912,82.0819296959832,38.5749755121406,52.3332590836756,0.00117017199304631,-2.92982570734213,6.51118633720687e-06,0.131230438505475,2.93175030052627
"FBtr0079077",129.480668147069,134.701242839407,143.54244328471,46.7419735187568,42.4133377139279,41.8373472177841,0.00111272702715264,-1.63591269691375,5.86214976626946e-06,0.321766782595259,2.95361136319582
"FBtr0078144",4648.77876893204,5621.41044519508,3535.8685261194,858.08427199841,1033.79470092813,936.568126657678,0.0011240875880895,-2.26647314644454,6.12840018236742e-06,0.207837351051808,2.94919984753749
"FBtr0089877",600.772952571413,577.678210556484,571.294609963683,259.568944079233,265.512056041907,300.118386673216,0.00120045003163746,-1.08840671193213,7.03572277890976e-06,0.470280457725778,2.92065591260467
"FBtr0080565",1436.58460166471,1213.56236989276,1473.97177360238,555.054308466559,572.664313144278,615.912308461433,0.00118519485753719,-1.23917417190887,6.79461979928018e-06,0.423615072707431,2.92621024155586
"FBtr0334282",154.652685881357,170.969875509365,182.627934925728,31.2153103818945,15.7969258861206,21.3425443013038,0.0011240875880895,-2.95269783117212,6.12294403053509e-06,0.129166349192753,2.94919984753749
"FBtr0075077",364.674718312228,394.398277119808,301.01255072757,86.7117612341619,82.5546796267915,102.588284182521,0.00123245473071649,-1.96001179068808,7.65092939594366e-06,0.257026356060708,2.90922902382444
"FBtr0301915",1824.73359081668,1905.2954020656,1617.08374450954,745.006299112099,874.589955340834,809.015591333477,0.00123245473071649,-1.1390627460934,7.37257673081145e-06,0.454054460568605,2.90922902382444
"FBtr0073339",887.724182929409,773.591261118116,985.449548139764,334.955142970056,349.410494766482,320.708390058694,0.00125010108458151,-1.39070130268554,8.15038926548196e-06,0.381379366382709,2.90305486803115
"FBtr0290076",1339.30402607086,1317.60311462532,1154.65404406749,542.676995829045,631.989202578053,591.316706950462,0.00131875586993307,-1.10947790068114,8.82036581171508e-06,0.463461723537579,2.87983559425957
"FBtr0075204",282.201718820038,330.604203947482,278.057775007473,114.720659719572,105.319982911137,97.9773407224443,0.00142762989616102,-1.48710543076827,9.98375814097341e-06,0.356727556169623,2.84538436601071
