Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0075492	2397	751	910	3500	1401	1772	1240	1125	1282	1787	1924	2198	1592.81	1216	1970	1.615	0.691	4.374	1.22224075446656e-05	0.000342672918974135	0.0083	0.03	0.0173	0.0173	TRUE	NA
FBtr0080837	15203	5569	6603	21688	9290	10809	7867	8343	9301	11075	12758	13410	10458.91	8504	12414	1.457	0.543	4.361	1.29589801102142e-05	0.000361035145086298	0.0025	0.0265	0.0111	0.0111	TRUE	NA
FBtr0089655	564	856	901	1098	1496	1449	292	1282	1269	561	2054	1798	1209.35	948	1471	1.634	0.708	4.36	1.30069722915733e-05	0.000361802432091547	0.0084	0.0313	0.018	0.018	TRUE	NA
FBtr0086613	77	30	23	195	76	88	40	45	32	100	104	109	71.72	39	104	2.661	1.412	4.359	1.30383846983735e-05	0.000362106850390777	0	0.1168	0.0569	0.0569	TRUE	NA
FBtr0302151	4	2	1	30	27	29	2	3	1	15	37	36	15.81	2	29	11.912	3.574	4.358	1.31141948498331e-05	0.000363641412364258	0.0064	0.4381	0.244	0.244	TRUE	NA
FBtr0086994	110	29	25	405	93	62	57	43	35	207	128	77	91.17	45	137	2.955	1.563	4.357	1.31855278412801e-05	0.000365047219155064	0.0518	0.0974	0.0747	0.0747	TRUE	NA
FBtr0086170	56	26	58	133	138	234	29	39	82	68	190	290	116.23	50	183	3.327	1.734	4.356	1.32546061837048e-05	0.000366386309368626	0.1229	0.082	0.1004	0.1004	TRUE	NA
FBtr0334846	78	24	20	209	60	80	40	36	28	107	82	99	65.48	35	96	2.761	1.465	4.323	1.54200719734011e-05	0.000421632910790478	0	0.1254	0.0613	0.0613	TRUE	NA
FBtr0089978	1424	93	132	2074	366	503	737	139	186	1059	503	624	541.31	354	729	2.557	1.355	4.321	1.55359926538893e-05	0.000424146984629562	0.1021	0.038	0.0673	0.0673	TRUE	NA
FBtr0083765	1017	380	461	2576	697	784	526	569	649	1315	957	973	831.69	581	1082	1.85	0.887	4.313	1.60883582970693e-05	0.000437202990220357	0.025	0.0338	0.029	0.029	TRUE	NA
FBtr0302578	332	86	64	457	443	505	172	129	90	233	608	627	309.84	130	489	3.525	1.817	4.314	1.60689122059727e-05	0.000437202990220357	0.2213	0.047	0.1228	0.1228	TRUE	NA
FBtr0343506	525	109	147	880	275	283	272	163	207	449	378	351	303.36	214	393	1.846	0.884	4.306	1.65990489088753e-05	0.000449699501143818	0.006	0.0474	0.0262	0.0262	TRUE	NA
FBtr0100504	15	10	8	64	36	55	8	15	11	33	49	68	30.73	11	50	4.39	2.134	4.298	1.72023719878894e-05	0.000465332053268732	0.0091	0.238	0.1206	0.1206	TRUE	NA
FBtr0078346	1516	291	147	3912	472	685	784	436	207	1998	648	850	820.52	476	1165	2.403	1.265	4.281	1.86286074410647e-05	0.000500849079391909	0.0942	0.0339	0.0607	0.0607	TRUE	NA
FBtr0086675	343	114	133	673	215	337	177	171	187	344	295	418	265.44	178	352	1.973	0.98	4.276	1.89881886702538e-05	0.000508969766311303	0.0184	0.0505	0.0333	0.0333	TRUE	NA
FBtr0331662	1223	84	65	1915	279	233	633	126	92	978	383	289	416.73	284	550	2.411	1.27	4.27	1.95676445429877e-05	0.000523430438049078	0.0776	0.0416	0.0583	0.0583	TRUE	NA
FBtr0100353	707	196	236	1024	463	517	366	294	332	523	636	641	465.34	331	600	1.801	0.849	4.264	2.00784802474118e-05	0.00053535501561577	0.0148	0.0399	0.026	0.026	TRUE	NA
FBtr0290205	101	57	66	200	160	147	52	85	93	102	220	182	122.47	77	168	2.142	1.099	4.259	2.0519742477212e-05	0.000543435275695146	0.0037	0.0791	0.038	0.038	TRUE	NA
FBtr0086281	641	243	306	981	497	585	332	364	431	501	683	726	506	376	637	1.675	0.744	4.254	2.09953012089295e-05	0.000552720050129721	0.0051	0.0388	0.0198	0.0198	TRUE	NA
FBtr0342819	100	74	66	420	185	141	52	111	93	214	254	175	149.84	85	214	2.655	1.409	4.247	2.17062270102967e-05	0.00056974015139341	0.0714	0.0694	0.0704	0.0704	TRUE	NA
FBtr0113066	327	100	136	747	212	248	169	150	192	381	291	308	248.48	170	327	1.919	0.941	4.235	2.2833671774079e-05	0.000597559892537324	0.0112	0.0521	0.0306	0.0306	TRUE	NA
