Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0071541	3342	1347	1480	2397	1166	1303	1729	2018	2085	1224	1601	1616	1712.31	1944	1480	0.757	-0.401	-3.098	0.00194706696069522	0.0269316353414066	0	0.0297	0.0115	0.0115	TRUE	NA
FBtr0337029	317	12	31	40	3	14	164	18	44	20	4	17	44.6	75	14	0.237	-2.077	-3.098	0.00194889399578318	0.0269358466245314	0.3968	0.172	0.2632	0.2632	TRUE	NA
FBtr0335406	37	35	15	13	5	4	19	52	21	7	7	5	18.53	31	6	0.215	-2.22	-3.097	0.00195530642644066	0.0270033770415002	0.1825	0.3776	0.276	0.276	TRUE	NA
FBtr0300853	67	50	14	17	8	9	35	75	20	9	11	11	26.69	43	10	0.24	-2.058	-3.094	0.00197159810588758	0.027165299930745	0.2467	0.2701	0.2581	0.2581	TRUE	NA
FBtr0303097	547	134	164	199	91	129	283	201	231	102	125	160	183.57	238	129	0.534	-0.905	-3.094	0.00197163784472764	0.027165299930745	0.0493	0.0614	0.0552	0.0552	TRUE	NA
FBtr0302691	458	101	82	202	67	56	237	151	116	103	92	69	128.08	168	88	0.535	-0.902	-3.092	0.00198513675569543	0.0273087514346874	0.0264	0.0768	0.0514	0.0514	TRUE	NA
FBtr0087416	159	125	107	26	73	77	82	187	151	13	100	96	104.89	140	70	0.389	-1.361	-3.091	0.00199289096424772	0.0273728525221323	0	0.088	0.1269	0.1269	TRUE	NA
FBtr0072995	2954	794	913	676	741	544	1529	1190	1286	345	1018	675	1006.98	1335	679	0.476	-1.072	-3.089	0.00200553706162173	0.0274612663755031	0.143	0.0324	0.0856	0.0856	TRUE	NA
FBtr0077576	8178	2639	3107	5861	2360	2656	4232	3954	4377	2993	3241	3295	3681.81	4188	3176	0.758	-0.401	-3.09	0.00200449122690686	0.0274612663755031	0.0027	0.0277	0.0118	0.0118	TRUE	NA
FBtr0332745	701	369	370	493	291	270	363	553	521	252	400	335	403.85	479	329	0.687	-0.541	-3.087	0.00201872903079838	0.0276205222612947	0.0016	0.0421	0.0195	0.0195	TRUE	NA
FBtr0072427	1874	604	656	1256	487	584	970	905	924	641	669	725	805.56	933	678	0.725	-0.463	-3.087	0.00202325637350718	0.0276397131302822	0.0023	0.034	0.0149	0.0149	TRUE	NA
FBtr0077708	1109	259	340	283	240	208	574	388	479	145	330	258	362.16	480	244	0.488	-1.036	-3.081	0.00206149456837463	0.028118658757992	0.1135	0.0439	0.0783	0.0783	TRUE	NA
FBtr0100833	212	59	64	84	39	40	110	88	90	43	54	50	72.39	96	49	0.5	-1.001	-3.073	0.00212058628707992	0.0288750764914715	0	0.1159	0.0603	0.0603	TRUE	NA
FBtr0335011	474	195	262	377	91	137	245	292	369	193	125	170	232.32	302	163	0.543	-0.881	-3.073	0.00212184723525594	0.0288750764914715	0.0544	0.054	0.0542	0.0542	TRUE	NA
FBtr0087376	855	202	128	504	104	100	442	303	180	257	143	124	241.6	308	175	0.563	-0.829	-3.068	0.00215373359000452	0.0291681368179941	0.0409	0.0529	0.047	0.047	TRUE	NA
FBtr0301701	2469	1063	993	1773	713	944	1278	1592	1399	905	979	1171	1220.76	1423	1018	0.716	-0.483	-3.068	0.00215682564204714	0.0291715614934678	0.0066	0.0313	0.017	0.017	TRUE	NA
FBtr0084139	1222	433	462	914	349	372	632	649	651	467	479	462	556.55	644	469	0.729	-0.456	-3.066	0.0021694242678123	0.0292668077090581	0	0.0376	0.014	0.014	TRUE	NA
FBtr0332999	454	111	135	253	82	96	235	166	190	129	113	119	158.71	197	120	0.611	-0.712	-3.066	0.00217048508927049	0.0292668077090581	0	0.067	0.0316	0.0316	TRUE	NA
FBtr0083038	2405	680	883	1646	590	684	1245	1019	1244	841	810	849	1001.06	1169	833	0.713	-0.489	-3.065	0.00218022943425191	0.0293758102980582	0.0059	0.0324	0.0172	0.0172	TRUE	NA
FBtr0076126	270	114	106	219	39	48	140	171	149	112	54	60	114.13	153	75	0.475	-1.075	-3.063	0.00218906652700975	0.0294724322141015	0.0724	0.083	0.0777	0.0777	TRUE	NA
FBtr0331653	214	76	69	107	46	45	111	114	97	55	63	56	82.57	107	58	0.536	-0.899	-3.06	0.00221510472261158	0.0297324868343866	0	0.1048	0.0484	0.0484	TRUE	NA
FBtr0343669	1250	542	670	866	490	476	647	812	944	442	673	591	684.71	801	569	0.707	-0.501	-3.06	0.00221379297739616	0.0297324868343866	0.0049	0.0354	0.0177	0.0177	TRUE	NA
FBtr0344121	1828	899	897	1258	702	838	946	1347	1264	642	964	1040	1033.72	1186	882	0.736	-0.442	-3.055	0.00224811830172345	0.0301070862042313	0	0.0322	0.014	0.014	TRUE	NA
FBtr0343268	92	41	65	50	19	24	48	61	92	26	26	30	47	67	27	0.42	-1.251	-3.054	0.00225775319419202	0.0302132464133518	0.0307	0.1646	0.0949	0.0949	TRUE	NA
FBtr0110933	96	46	46	43	25	20	50	69	65	22	34	25	44.08	61	27	0.441	-1.18	-3.054	0.00226137541601761	0.0302316140995679	0	0.1737	0.0805	0.0805	TRUE	NA
FBtr0306523	10386	3378	3819	6509	2867	3474	5375	5061	5380	3324	3937	4310	4564.25	5272	3857	0.728	-0.459	-3.053	0.00226254350052727	0.0302316140995679	0.0071	0.0273	0.016	0.016	TRUE	NA
FBtr0303445	71	22	20	26	6	7	37	33	28	13	8	9	21.35	33	10	0.309	-1.693	-3.05	0.00228727135539645	0.0304470410446341	0	0.3312	0.1536	0.1536	TRUE	NA
FBtr0304994	2763	1113	1073	2043	890	976	1430	1667	1511	1043	1222	1211	1347.49	1536	1159	0.753	-0.409	-3.048	0.00230301226571873	0.0306335263103986	0.001	0.0308	0.0122	0.0122	TRUE	NA
